Date,Close,High,Low,Open,Volume
2012-03-09,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-03-12,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-03-13,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-03-14,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-03-15,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-03-16,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-03-19,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-03-20,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-03-21,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-03-22,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-03-23,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-03-26,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-03-27,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-03-28,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-03-29,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-03-30,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
